Region (Hex): 0x187b2400000, Region (Decimal): 1682322751488, L2 Misses: 31
Region (Hex): 0x187b8c00000, Region (Decimal): 1682431803392, L2 Misses: 88
Region (Hex): 0x187a0400000, Region (Decimal): 1682020761600, L2 Misses: 257
Region (Hex): 0x18787600000, Region (Decimal): 1681603428352, L2 Misses: 38
Region (Hex): 0x187a3c00000, Region (Decimal): 1682079481856, L2 Misses: 155
Region (Hex): 0x187a9600000, Region (Decimal): 1682173853696, L2 Misses: 128
Region (Hex): 0x187b7600000, Region (Decimal): 1682408734720, L2 Misses: 146
Region (Hex): 0x187bde00000, Region (Decimal): 1682517786624, L2 Misses: 92
Region (Hex): 0x1879dc00000, Region (Decimal): 1681978818560, L2 Misses: 103
Region (Hex): 0x187b0e00000, Region (Decimal): 1682299682816, L2 Misses: 133
Region (Hex): 0x187b5600000, Region (Decimal): 1682375180288, L2 Misses: 90
Region (Hex): 0x187bfc00000, Region (Decimal): 1682549243904, L2 Misses: 234
Region (Hex): 0x1878d200000, Region (Decimal): 1681699897344, L2 Misses: 52
Region (Hex): 0x1879fc00000, Region (Decimal): 1682012372992, L2 Misses: 261
Region (Hex): 0x187bee00000, Region (Decimal): 1682534563840, L2 Misses: 71
Region (Hex): 0x18782200000, Region (Decimal): 1681515347968, L2 Misses: 121
Region (Hex): 0x18792e00000, Region (Decimal): 1681796366336, L2 Misses: 119
Region (Hex): 0x187a6600000, Region (Decimal): 1682123522048, L2 Misses: 88
Region (Hex): 0x18789a00000, Region (Decimal): 1681641177088, L2 Misses: 66
Region (Hex): 0x18795600000, Region (Decimal): 1681838309376, L2 Misses: 169
Region (Hex): 0x1879bc00000, Region (Decimal): 1681945264128, L2 Misses: 174
Region (Hex): 0x187a7c00000, Region (Decimal): 1682146590720, L2 Misses: 227
Region (Hex): 0x187b1000000, Region (Decimal): 1682301779968, L2 Misses: 59
Region (Hex): 0x187b0200000, Region (Decimal): 1682287099904, L2 Misses: 136
Region (Hex): 0x187ade00000, Region (Decimal): 1682249351168, L2 Misses: 41
Region (Hex): 0x187aa800000, Region (Decimal): 1682192728064, L2 Misses: 181
Region (Hex): 0x18784000000, Region (Decimal): 1681546805248, L2 Misses: 55
Region (Hex): 0x18789200000, Region (Decimal): 1681632788480, L2 Misses: 106
Region (Hex): 0x1878a800000, Region (Decimal): 1681655857152, L2 Misses: 103
Region (Hex): 0x1878e000000, Region (Decimal): 1681714577408, L2 Misses: 212
Region (Hex): 0x18797000000, Region (Decimal): 1681865572352, L2 Misses: 175
Region (Hex): 0x187af600000, Region (Decimal): 1682274516992, L2 Misses: 107
Region (Hex): 0x18795800000, Region (Decimal): 1681840406528, L2 Misses: 167
Region (Hex): 0x187a7400000, Region (Decimal): 1682138202112, L2 Misses: 135
Region (Hex): 0x18783600000, Region (Decimal): 1681536319488, L2 Misses: 37
Region (Hex): 0x187b2800000, Region (Decimal): 1682326945792, L2 Misses: 81
Region (Hex): 0x187b3c00000, Region (Decimal): 1682347917312, L2 Misses: 92
Region (Hex): 0x187bc600000, Region (Decimal): 1682492620800, L2 Misses: 170
Region (Hex): 0x187a4e00000, Region (Decimal): 1682098356224, L2 Misses: 28
Region (Hex): 0x187a9800000, Region (Decimal): 1682175950848, L2 Misses: 110
Region (Hex): 0x1878c200000, Region (Decimal): 1681683120128, L2 Misses: 156
Region (Hex): 0x1879c600000, Region (Decimal): 1681955749888, L2 Misses: 42
Region (Hex): 0x187af000000, Region (Decimal): 1682268225536, L2 Misses: 79
Region (Hex): 0x187b3600000, Region (Decimal): 1682341625856, L2 Misses: 70
Region (Hex): 0x18782000000, Region (Decimal): 1681513250816, L2 Misses: 64
Region (Hex): 0x18786800000, Region (Decimal): 1681588748288, L2 Misses: 102
Region (Hex): 0x187a0000000, Region (Decimal): 1682016567296, L2 Misses: 83
Region (Hex): 0x187bce00000, Region (Decimal): 1682501009408, L2 Misses: 60
Region (Hex): 0x18791800000, Region (Decimal): 1681773297664, L2 Misses: 57
Region (Hex): 0x187a9000000, Region (Decimal): 1682167562240, L2 Misses: 122
Region (Hex): 0x187b8000000, Region (Decimal): 1682419220480, L2 Misses: 140
